zip_prefix,geo_lat,geo_lng,geo_state
01001,-23.550380539269455,-46.63402699777831,SP
01002,-23.548551065785627,-46.63507239078997,SP
01003,-23.54897652899767,-46.63531311226845,SP
01004,-23.549534948092827,-46.634770582289825,SP
01005,-23.54961248124544,-46.63653202553522,SP
01006,-23.550317224536894,-46.63622549584506,SP
01007,-23.55034858312654,-46.63734214071785,SP
01008,-23.545395979326535,-46.635598592835734,SP
01009,-23.54693540437998,-46.63658792659698,SP
01010,-23.54565700582837,-46.6346895341229,SP
01011,-23.546690486964888,-46.6354469588072,SP
01012,-23.54774227061568,-46.63488111172018,SP
01013,-23.547307871775622,-46.63423572661436,SP
01014,-23.546065945322862,-46.63358224756194,SP
01015,-23.54797349999999,-46.631701306827225,SP
01016,-23.549251053963594,-46.632135517086056,SP
01017,-23.54968991921072,-46.63111414126611,SP
01018,-23.550598321195395,-46.63188,SP
01019,-23.55166351540767,-46.63093168887411,SP
01020,-23.552494470713864,-46.62960898251487,SP
01021,-23.544184662502165,-46.63214268206478,SP
01022,-23.544497629753597,-46.631461751457095,SP
01023,-23.542092880648095,-46.63137717319231,SP
01024,-23.541389521053937,-46.62989908781218,SP
01025,-23.540410813203355,-46.631264935195325,SP
01026,-23.539439503750906,-46.63284391414975,SP
01027,-23.53801519954993,-46.63043882598531,SP
01028,-23.536027749379617,-46.632878533585306,SP
01029,-23.541095849847075,-46.63297044005707,SP
01030,-23.538399296150907,-46.63297206480466,SP
01031,-23.542520789115148,-46.63533516134283,SP
01032,-23.540742303912527,-46.63525058950317,SP
01033,-23.540035348866123,-46.63581027505907,SP
01034,-23.54239162719593,-46.63745558840666,SP
01035,-23.540983825979165,-46.64256855760085,SP
01036,-23.541700023861782,-46.64131782056096,SP
01037,-23.545410010472594,-46.63881853301754,SP
01038,-23.544139809596672,-46.64041077352986,SP
01039,-23.5417538351319,-46.63976074078128,SP
01040,-23.5406306991459,-46.63784230127247,SP
01041,-23.543712849558617,-46.6402632336835,SP
01042,-23.54488036525475,-46.64032833172723,SP
01043,-23.545781968088136,-46.641376633648726,SP
01044,-23.545662511930896,-46.641384647440745,SP
01045,-23.542392919396363,-46.64280268887412,SP
01046,-23.54608112703553,-46.64381018541167,SP
01047,-23.54627311241268,-46.64122516971552,SP
01048,-23.547162090484132,-46.639559140501504,SP
01049,-23.54775736886144,-46.64021604302036,SP
01050,-23.54898587913322,-46.643139396906825,SP
01101,-23.526091267557256,-46.63137211754856,SP
01102,-23.52261021648681,-46.62942387523806,SP
01103,-23.535453394396647,-46.63170629156326,SP
01104,-23.53500886427381,-46.62963536441802,SP
01105,-23.534220153759595,-46.62957259920161,SP
01106,-23.531046789341573,-46.62865354731952,SP
01107,-23.527488477667426,-46.62717387010217,SP
01108,-23.52756187663738,-46.629436653975944,SP
01109,-23.52443609001689,-46.627455970858094,SP
01120,-23.530534789485802,-46.63934288253786,SP
01121,-23.528535045242062,-46.63568569080736,SP
01122,-23.531280767701485,-46.63949768858565,SP
01123,-23.52934877491485,-46.63675764418032,SP
01124,-23.528344494864104,-46.63298459547579,SP
01125,-23.526997009435053,-46.64019737301636,SP
01126,-23.526578205248406,-46.63928793769115,SP
01127,-23.525865151956253,-46.640097743551244,SP
01128,-23.52383699278664,-46.640687789197344,SP
01129,-23.524372634196983,-46.64555244317329,SP
01130,-23.523328708292496,-46.64480241771019,SP
01131,-23.522384592979957,-46.6458632305816,SP
01132,-23.520905455450425,-46.64840659893825,SP
01133,-23.519658499855773,-46.65398781890184,SP
01134,-23.51867680707737,-46.6531159131789,SP
01135,-23.526908245080445,-46.65089423910785,SP
01136,-23.52350959838998,-46.66362145420966,SP
01137,-23.523144766840574,-46.652821735882625,SP
01138,-23.52250374604707,-46.65541993450284,SP
01139,-23.52076037607479,-46.66428988130433,SP
01140,-23.51877961656762,-46.668707598923476,SP
01141,-23.52011919677996,-46.66584000098096,SP
01142,-23.51993430515264,-46.6251300217966,SP
01144,-23.52375483986375,-46.67201579877662,SP
01150,-23.53286949347912,-46.6574641552888,SP
01151,-23.531294001384985,-46.65640409394658,SP
01152,-23.52976297446478,-46.655657718208005,SP
01153,-23.528899184286484,-46.653736572999,SP
01154,-23.53105219053323,-46.65897749694157,SP
01155,-23.52899269085843,-46.66332089785909,SP
01156,-23.5295707260661,-46.665109917017695,SP
01189,-23.53210825506378,-46.63839470107914,SP
01200,-23.531567773241413,-46.64986907784642,SP
01201,-23.53560024965375,-46.64935629739165,SP
01202,-23.53254550916093,-46.649174992786634,SP
01203,-23.535415346240402,-46.64578356709849,SP
01204,-23.53740232530147,-46.64333793316141,SP
01205,-23.540422285042407,-46.639694812799306,SP
01206,-23.536609489728185,-46.64244480598998,SP
01207,-23.539369243407013,-46.638486209821714,SP
01208,-23.538629283657414,-46.63879850083671,SP
01209,-23.540729963085703,-46.64193701762936,SP
01210,-23.54001446169717,-46.64255169727044,SP
01211,-23.53775281626178,-46.64828925797796,SP
01212,-23.537493461278807,-46.63974517262972,SP
01213,-23.53641828005074,-46.64006458881068,SP
01214,-23.539690634196997,-46.6462616555486,SP
01215,-23.53610606771887,-46.64768840536092,SP
01216,-23.533621731894478,-46.64767750916093,SP
01217,-23.533271512767612,-46.64940663613022,SP
01218,-23.53151235913791,-46.64923040487045,SP
01219,-23.541467521784305,-46.64533737490615,SP
